"name" , "web_page" , "domain" , "country"
"Campbellsville College" , "http://www.campbellsvil.edu/" , "campbellsvil.edu" , "USA" 
"Cameron University" , "http://www.cameron.edu/" , "cameron.edu" , "USA" 
"Canisius College" , "http://gort.canisius.edu/" , "canisius.edu" , "USA" 
"Carleton College" , "http://www.carleton.edu/" , "carleton.edu" , "USA" 
"Carlow College" , "http://www.carlow.edu/" , "carlow.edu" , "USA" 
"Carnegie Mellon University" , "http://www.cmu.edu/" , "cmu.edu" , "USA" 
"Carroll College (MT)" , "http://www.carroll.edu/" , "carroll.edu" , "USA" 
"Carroll College (WI)" , "http://carroll1.cc.edu/" , "cc.edu" , "USA" 
"Carson-Newman College" , "http://www.cn.edu/" , "cn.edu" , "USA" 
"Carthage College" , "http://martin.carthage.edu/" , "carthage.edu" , "USA" 
"Case Western Reserve University" , "http://www.cwru.edu/" , "cwru.edu" , "USA" 
"Castleton State University" , "http://www.csc.vsc.edu/" , "csc.vsc.edu" , "USA" 
"The Catholic University of America" , "http://www.cua.edu/" , "cua.edu" , "USA" 
"Cedarville College" , "http://www.cedarville.edu/" , "cedarville.edu" , "USA" 
"Centenary College of Louisiana" , "http://www.centenary.edu/" , "centenary.edu" , "USA" 
"Central College" , "http://www.central.edu/" , "central.edu" , "USA" 
"Central Connecticut State University" , "http://www.ccsu.ctstateu.edu/" , "ccsu.ctstateu.edu" , "USA" 
"Central Methodist College" , "http://www.cmc.edu/" , "cmc.edu" , "USA" 
"Central Michigan University" , "http://www.cmich.edu/" , "cmich.edu" , "USA" 
"Central Missouri State University" , "http://cmsuvmb.cmsu.edu/" , "cmsu.edu" , "USA" 
"Central Washington University" , "http://www.cwu.edu/" , "cwu.edu" , "USA" 
"Centre College" , "http://www.centre.edu/" , "centre.edu" , "USA" 
"Chadron State College" , "http://www.csc.edu/" , "csc.edu" , "USA" 
"Champlain College" , "http://www.champlain.edu/" , "champlain.edu" , "USA" 
"Chapman University" , "http://www.chapman.edu/" , "chapman.edu" , "USA" 
"Chatham College" , "http://www.chatham.edu/" , "chatham.edu" , "USA" 
"Chesapeake College" , "http://www.chesapeake.edu/" , "chesapeake.edu" , "USA" 
"Cheyney University" , "http://www.cheyney.edu/" , "cheyney.edu" , "USA" 
"The Chicago School of Professional Psychology" , "http://www.csopp.edu/" , "csopp.edu" , "USA" 
"Christian Brothers University" , "http://www.cbu.edu/" , "cbu.edu" , "USA" 
"Christian Theological Seminary" , "http://www.cts.edu/" , "cts.edu" , "USA" 
"Christopher Newport University" , "http://www.cnu.edu/" , "cnu.edu" , "USA" 
"The Citadel" , "http://www.citadel.edu/" , "citadel.edu" , "USA" 
"City University" , "http://www.cityu.edu/" , "cityu.edu" , "USA" 
"City University of New York" , "http://www.cuny.edu/" , "cuny.edu" , "USA" 
"Claremont Graduate School" , "http://www.cgs.edu/" , "cgs.edu" , "USA" 
"Claremont McKenna College" , "http://www.mckenna.edu/" , "mckenna.edu" , "USA" 
"Clarion University of Pennsylvania" , "http://www.clarion.edu/" , "clarion.edu" , "USA" 
"Clark University" , "http://www.clarku.edu/" , "clarku.edu" , "USA" 
"Clarke College" , "http://www.clarke.edu/" , "clarke.edu" , "USA" 
"Clarkson University" , "http://www.clarkson.edu/" , "clarkson.edu" , "USA" 
"Clayton State College" , "http://www.csc.peachnet.edu/" , "csc.peachnet.edu" , "USA" 
"Clemson University" , "http://www.clemson.edu/home.html" , "clemson.edu" , "USA" 
"Cleveland State University" , "http://www.csuohio.edu/" , "csuohio.edu" , "USA" 
"Clinch Valley College" , "http://www.clinch.edu/" , "clinch.edu" , "USA" 
"Coastal Carolina University" , "http://www.coastal.edu/" , "coastal.edu" , "USA" 
"Coe College" , "http://www.coe.edu/" , "coe.edu" , "USA" 
"Coker College" , "http://www.coker.edu/" , "coker.edu" , "USA" 
"Colby College" , "http://www.colby.edu/" , "colby.edu" , "USA" 
"Colgate University" , "http://www.colgate.edu/" , "colgate.edu" , "USA" 
"College of the Atlantic" , "http://www.coa.edu/" , "coa.edu" , "USA" 
"College of Charleston" , "http://www.cs.cofc.edu/" , "cofc.edu" , "USA" 
"College of Eastern Utah" , "http://www.ceu.edu/" , "ceu.edu" , "USA" 
"College of the Holy Cross" , "http://www.holycross.edu/" , "holycross.edu" , "USA" 
"College of Saint Benedict" , "http://www.csbsju.edu/" , "csbsju.edu" , "USA" 
"College of Saint Catherine" , "http://www.stkate.edu/" , "stkate.edu" , "USA" 
"College of St. Francis" , "http://www.stfrancis.edu/" , "stfrancis.edu" , "USA" 
"College of Saint Rose" , "http://www.strose.edu/" , "strose.edu" , "USA" 
"College of St. Scholastica" , "http://www.css.edu/" , "css.edu" , "USA" 
"College of William and Mary" , "http://www.wm.edu/" , "wm.edu" , "USA" 
"The College of Wooster" , "http://www.wooster.edu/" , "wooster.edu" , "USA" 
"Colorado Christian University" , "http://www.ccu.edu/" , "ccu.edu" , "USA" 
"Colorado College" , "http://www.cc.colorado.edu/" , "cc.colorado.edu" , "USA" 
"Colorado School of Mines" , "http://gn.mines.colorado.edu/" , "mines.colorado.edu" , "USA" 
"Colorado State University" , "http://www.colostate.edu/" , "colostate.edu" , "USA" 
"Columbia College Chicago" , "http://www.colum.edu/" , "colum.edu" , "USA" 
"Columbia Southern University" , "http://www.colsouth.edu/" , "colsouth.edu" , "USA" 
"Columbia Union College" , "http://www.cuc.edu/" , "cuc.edu" , "USA" 
"Columbia University" , "http://www.columbia.edu/" , "columbia.edu" , "USA" 
"Concordia College-Ann Arbor" , "http://www.ccaa.edu/" , "ccaa.edu" , "USA" 
"Concordia College-Moorhead" , "http://www.cord.edu/" , "cord.edu" , "USA" 
"Concordia College-St. Paul" , "http://www.csp.edu/" , "csp.edu" , "USA" 
"Concordia College-Seward" , "http://www.ccsn.edu/" , "ccsn.edu" , "USA" 
"Concordia University River Forest, Illinois" , "http://www.cuis.edu/www/curf/home.html" , "cuis.edu" , "USA" 
"Connecticut College" , "http://camel.conncoll.edu/" , "conncoll.edu" , "USA" 
"The Cooper Union for the Advancement of Science and Art" , "http://www.cooper.edu/" , "cooper.edu" , "USA" 
"Coppin State College" , "http://coeacl.coppin.umd.edu/" , "coppin.umd.edu" , "USA" 
"Cornell College" , "http://www.cornell-iowa.edu/" , "cornell-iowa.edu" , "USA" 
"Cornell University" , "http://www.cornell.edu/" , "cornell.edu" , "USA" 
"Creighton University" , "http://www.creighton.edu/" , "creighton.edu" , "USA" 
"Curry College" , "http://www.curry.edu:8080/" , "curry.edu" , "USA" 
"Daemen College" , "http://www.daemen.edu/" , "daemen.edu" , "USA" 
"Dakota State University" , "http://www.dsu.edu/" , "dsu.edu" , "USA" 
"Dakota Wesleyan University" , "http://www.dwu.edu/" , "dwu.edu" , "USA" 
"Dallas Baptist University" , "http://www.dbu.edu/" , "dbu.edu" , "USA" 
"Dana College" , "http://www.dana.edu/" , "dana.edu" , "USA" 
"Daniel Webster College" , "http://www.dwc.edu/" , "dwc.edu" , "USA" 
"Dartmouth College" , "http://www.dartmouth.edu/" , "dartmouth.edu" , "USA" 
"Davenport College Detroit College of Business" , "http://www.davenport.edu/" , "davenport.edu" , "USA" 
"Davidson College" , "http://www.davidson.edu/" , "davidson.edu" , "USA" 
"Davis &amp; Elkins College" , "http://www.dne.wvnet.edu/" , "dne.wvnet.edu" , "USA" 
"Delaware State University" , "http://www.dsc.edu/" , "dsc.edu" , "USA" 
"Delta State University" , "http://dsu2.deltast.edu/" , "deltast.edu" , "USA" 
"Denison University" , "http://louie.cc.denison.edu/" , "denison.edu" , "USA" 
"DePaul University" , "http://www.depaul.edu/" , "depaul.edu" , "USA" 
"DePauw University" , "http://www.depauw.edu/" , "depauw.edu" , "USA" 
"DeVry Institute of Technology" , "http://www.devrycols.edu/" , "devrycols.edu" , "USA" 
"DeVry Institute of Technology-Dallas" , "http://www.dal.devry.edu/" , "devry.edu" , "USA" 
"DeVry Institute of Technology-Phoenix" , "http://www.devry-phx.edu/" , "devry-phx.edu" , "USA" 
"Dickinson College" , "http://www.dickinson.edu/" , "dickinson.edu" , "USA" 
"Dickinson State University" , "http://www.dsu.nodak.edu/" , "dsu.nodak.edu" , "USA" 
"Dillard University" , "http://www.dillard.edu/" , "dillard.edu" , "USA" 
"Dominican College" , "http://www.dominican.edu/" , "dominican.edu" , "USA" 
"Dordt College" , "http://www.Dordt.edu/" , "Dordt.edu" , "USA" 
"Dowling College" , "http://www.dowling.edu/" , "dowling.edu" , "USA" 
"Drake University" , "http://www.drake.edu/" , "drake.edu" , "USA" 
"Drew University" , "http://www.drew.edu/" , "drew.edu" , "USA" 
"Drexel University" , "http://www.drexel.edu/" , "drexel.edu" , "USA" 
"Drury College" , "http://www.drury.edu/" , "drury.edu" , "USA" 
"Duke University" , "http://www.duke.edu/" , "duke.edu" , "USA" 
"Duquesne University" , "http://www.duq.edu/" , "duq.edu" , "USA" 
"Earlham College" , "http://www.earlham.edu/" , "earlham.edu" , "USA" 
"East Carolina University" , "http://ecuvax.cis.ecu.edu/" , "ecu.edu" , "USA" 
"East Central University" , "http://www.ecok.edu/" , "ecok.edu" , "USA" 
"East Stroudsburg State University of Pennsylvania" , "http://www.esu.edu/" , "esu.edu" , "USA" 
"East Tennessee State University" , "http://www.etsu-tn.edu/" , "etsu-tn.edu" , "USA" 
"East Texas State University" , "http://www.etsu.edu/" , "etsu.edu" , "USA" 
"Eastern Connecticut State University" , "http://www.ecsu.ctstateu.edu/" , "ecsu.ctstateu.edu" , "USA" 
"Eastern Illinois University" , "http://www.eiu.edu/" , "eiu.edu" , "USA" 
"Eastern Kentucky University" , "http://www.eku.edu/" , "eku.edu" , "USA" 
"Eastern Mennonite University" , "http://www.emu.edu/" , "emu.edu" , "USA" 
"Eastern Michigan University" , "http://www.emich.edu/" , "emich.edu" , "USA" 
"Eastern New Mexico University" , "http://www.enmu.edu/" , "enmu.edu" , "USA" 
"Eastern Oregon State College" , "http://www.eosc.osshe.edu/" , "eosc.osshe.edu" , "USA" 
"Eastern Washington University" , "http://www.ewu.edu/" , "ewu.edu" , "USA" 
"Edgewood College" , "http://www.edgewood.edu/" , "edgewood.edu" , "USA" 
"Edinboro University of Pennsylvania" , "http://www.edinboro.edu/" , "edinboro.edu" , "USA" 
"Elizabeth City State University" , "http://www.ecsu.edu/" , "ecsu.edu" , "USA" 
"Elizabethtown College" , "http://www.etown.edu/" , "etown.edu" , "USA" 
"Elmhurst College" , "http://www.elmhurst.edu/" , "elmhurst.edu" , "USA" 
"Elon College" , "http://www.elon.edu/" , "elon.edu" , "USA" 
"Embry-Riddle Aeronautical University, Arizona" , "http://www.pr.erau.edu/" , "erau.edu" , "USA" 
"Embry-Riddle Aeronautical University, Florida" , "http://macwww.db.erau.edu/" , "erau.edu" , "USA" 
"Emerson College" , "http://www.emerson.edu/" , "emerson.edu" , "USA" 
"Emmanuel College" , "http://www.emmanuel.edu/" , "emmanuel.edu" , "USA" 
"Emporia State University" , "http://www.emporia.edu/" , "emporia.edu" , "USA" 
"Emory University" , "http://www.cc.emory.edu/welcome.html" , "emory.edu" , "USA" 
"Evergreen State College" , "http://www.evergreen.edu/" , "evergreen.edu" , "USA" 
"Fairleigh Dickinson University" , "http://www.fdu.edu/" , "fdu.edu" , "USA" 
"Fairmont State College" , "http://www.fairmont.wvnet.edu:80/" , "fairmont.wvnet.edu" , "USA" 
"Fayetteville State University" , "http://www.fsufay.edu/" , "fsufay.edu" , "USA" 
"Ferris State University" , "http://about.ferris.edu/homepage.htm" , "ferris.edu" , "USA" 
"Fielding Institute" , "http://www.fielding.edu/" , "fielding.edu" , "USA" 
"Fisk University" , "http://www.fisk.edu/" , "fisk.edu" , "USA" 
"Fitchburg State College" , "http://www.fsc.edu/" , "fsc.edu" , "USA" 
"Florida Agricultural and Mechanical University" , "http://www.famu.edu/" , "famu.edu" , "USA" 
"Florida Atlantic University" , "http://rs6000.adm.fau.edu/fau.home" , "fau.edu" , "USA" 
"Florida Gulf Coast University" , "http://www.fgcu.edu/" , "fgcu.edu" , "USA" 
"Florida Institute of Technology" , "http://www.fit.edu/" , "fit.edu" , "USA" 
"Florida International University" , "http://www.fiu.edu/" , "fiu.edu" , "USA" 
"Florida State University" , "http://www.fsu.edu/" , "fsu.edu" , "USA" 
"Fontbonne College" , "http://www.fontbonne.edu/" , "fontbonne.edu" , "USA" 
"Fordham University" , "http://www.fordham.edu/" , "fordham.edu" , "USA" 
"Fort Hays State University" , "http://www.fhsu.edu/" , "fhsu.edu" , "USA" 
"Fort Lewis College" , "http://www.fortlewis.edu/" , "fortlewis.edu" , "USA" 
"Franklin and Marshall College" , "http://www.fandm.edu/" , "fandm.edu" , "USA" 
"Franklin Pierce Law Center" , "http://www.fplc.edu/" , "fplc.edu" , "USA" 
"Franklin University" , "http://www.franklin.edu/" , "franklin.edu" , "USA" 
"Fresno Pacific University" , "http://www.fresno.edu/" , "fresno.edu" , "USA" 
"Friends University" , "http://www.friends.edu/" , "friends.edu" , "USA" 
"Frostburg State University" , "http://www.fsu.umd.edu/" , "fsu.umd.edu" , "USA" 
"Fuller Theological Seminary" , "http://www.fuller.edu/" , "fuller.edu" , "USA" 
"Furman University" , "http://www.furman.edu/" , "furman.edu" , "USA" 
"Gallaudet University" , "http://www.gallaudet.edu/" , "gallaudet.edu" , "USA" 
"Gannon University" , "http://www.gannon.edu/" , "gannon.edu" , "USA" 
"Geneva College" , "http://www.geneva.edu/" , "geneva.edu" , "USA" 
"George Fox College" , "http://www.gfc.edu/" , "gfc.edu" , "USA" 
"George Mason University" , "http://www.gmu.edu/" , "gmu.edu" , "USA" 
"George Washington University" , "http://gwis.circ.gwu.edu/" , "gwu.edu" , "USA" 
"Georgetown University" , "http://www.georgetown.edu/" , "georgetown.edu" , "USA" 
"Georgia College" , "http://www.gac.peachnet.edu/" , "gac.peachnet.edu" , "USA" 
"Georgia Institute of Technology" , "http://www.gatech.edu/" , "gatech.edu" , "USA" 
"Georgia Southern University" , "http://www.gasou.edu/" , "gasou.edu" , "USA" 
"Georgia Southwestern College" , "http://gswrs6k1.gsw.peachnet.edu/" , "gsw.peachnet.edu" , "USA" 
"Georgia State University" , "http://www.gsu.edu/" , "gsu.edu" , "USA" 
"Georgian Court College" , "http://www.georgian.edu/" , "georgian.edu" , "USA" 
"Gettysburg College" , "http://www.gettysburg.edu/" , "gettysburg.edu" , "USA" 
"GMI Engineering and Management Institute" , "http://www.gmi.edu/" , "gmi.edu" , "USA" 
"Golden Gate University" , "http://www.ggu.edu/" , "ggu.edu" , "USA" 
"Goldey-Beacom College" , "http://goldey.gbc.edu/" , "gbc.edu" , "USA" 
"Gonzaga University" , "http://www.gonzaga.edu/" , "gonzaga.edu" , "USA" 
"Goshen College" , "http://www.goshen.edu/" , "goshen.edu" , "USA" 
"Goucher College" , "http://www.goucher.edu/" , "goucher.edu" , "USA" 
"Governors State University" , "http://www.ecn.bgu.edu/users/gsunow/gsu/" , "bgu.edu" , "USA" 
"Grace College" , "http://www.grace.edu/" , "grace.edu" , "USA" 
"Graceland College" , "http://www.graceland.edu/" , "graceland.edu" , "USA" 
"Grand Valley State University" , "http://www.gvsu.edu/" , "gvsu.edu" , "USA" 
"Greenleaf University" , "http://www.greenleaf.edu/" , "greenleaf.edu" , "USA" 
"Grinnell College" , "http://www.grin.edu/" , "grin.edu" , "USA" 
"Guilford College" , "http://www.guilford.edu/" , "guilford.edu" , "USA" 
"Gustavus Adolphus College" , "http://www.gac.edu/" , "gac.edu" , "USA" 
"Hamilton College" , "http://www.hamilton.edu/" , "hamilton.edu" , "USA" 
"Hamline University" , "http://www.hamline.edu/" , "hamline.edu" , "USA" 
"Hampden-Sydney College" , "http://www.hsc.edu/" , "hsc.edu" , "USA" 
"Hampshire College" , "http://www.hampshire.edu/" , "hampshire.edu" , "USA" 
"Hampton University" , "http://www.cs.hamptonu.edu/" , "hamptonu.edu" , "USA" 
"Hanover College" , "http://www.hanover.edu/" , "hanover.edu" , "USA" 
"Harding University" , "http://www.harding.edu/" , "harding.edu" , "USA" 
"Hartwick College" , "http://www.hartwick.edu/" , "hartwick.edu" , "USA" 
"Harvard University" , "http://www.harvard.edu/" , "harvard.edu" , "USA" 
"Harvey Mudd College" , "http://www.hmc.edu/" , "hmc.edu" , "USA" 
"Haskell Indian Nations University" , "http://www.haskell.edu/" , "haskell.edu" , "USA" 
"Hastings College" , "http://www.hastings.edu/" , "hastings.edu" , "USA" 
"Haverford College in Pennsylvania" , "http://www.haverford.edu/" , "haverford.edu" , "USA" 
"Hawaii Pacific University" , "http://www.hpu.edu/" , "hpu.edu" , "USA" 
"Heidelberg College" , "http://www.heidelberg.edu/" , "heidelberg.edu" , "USA" 
"Hendrix College" , "http://www.hendrix.edu/" , "hendrix.edu" , "USA" 
"Hesston College" , "http://www.hesston.edu/" , "hesston.edu" , "USA" 
"High Point University" , "http://acme.highpoint.edu/" , "highpoint.edu" , "USA" 
"Hillsdale College" , "http://www.hillsdale.edu/" , "hillsdale.edu" , "USA" 
"Hiram College" , "http://www.hiram.edu/" , "hiram.edu" , "USA" 
"Hobart and William Smith Colleges" , "http://hws3.hws.edu/" , "hws.edu" , "USA" 
"Hofstra University" , "http://www.hofstra.edu/" , "hofstra.edu" , "USA" 
"Hollins College" , "http://www.hollins.edu/" , "hollins.edu" , "USA" 
"Holy Cross College" , "http://www.holycross.edu/" , "holycross.edu" , "USA" 
"Hood College" , "http://www.hood.edu/" , "hood.edu" , "USA" 
"Hope College" , "http://www.hope.edu/" , "hope.edu" , "USA" 
"Howard University" , "http://www.howard.edu/" , "howard.edu" , "USA" 
"Humboldt State University" , "http://www.humboldt.edu/" , "humboldt.edu" , "USA" 
"Hunter College" , "http://www.hunter.cuny.edu/" , "hunter.cuny.edu" , "USA" 
"Huntingdon College" , "http://www.huntingdon.edu/" , "huntingdon.edu" , "USA" 
